route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1,1,49506788,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166790,1085494,1,2
1,1,49506789,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166761,1085494,1,2
1,1,49506790,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166791,1085494,1,2
1,1,49506791,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166762,1085494,1,2
1,1,49506792,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166840,1085494,1,2
1,1,49506793,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166763,1085494,1,2
1,1,49506794,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166792,1085494,1,2
1,1,49506795,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166764,1085494,1,2
1,1,49506796,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166793,1085494,1,2
1,1,49506764,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166765,1085494,1,2
1,1,49506763,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166835,1085494,1,2
1,1,49506762,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166766,1085494,1,2
1,1,49506761,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166755,1085494,1,2
1,1,49506760,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166834,1085494,1,2
1,1,49506759,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166794,1085494,1,2
1,1,49506758,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166801,1085494,1,2
1,1,49506757,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166795,1085494,1,2
1,1,49506756,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166796,1085494,1,2
1,1,49506755,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166802,1085494,1,2
1,1,49506754,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166797,1085494,1,2
1,1,49506753,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166798,1085494,1,2
1,1,49506752,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166803,1085494,1,2
1,1,49506751,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166799,1085494,1,2
1,1,49506750,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166800,1085494,1,2
1,1,49506749,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166804,1085494,1,2
1,1,49506457,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166777,1085495,1,2
1,1,49506458,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166778,1085495,1,2
1,1,49506459,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166779,1085495,1,2
1,1,49506460,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166780,1085495,1,2
1,1,49506461,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166776,1085495,1,2
1,1,49506462,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166781,1085495,1,2
1,1,49506463,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166782,1085495,1,2
1,1,49506464,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166768,1085495,1,2
1,1,49506465,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166769,1085495,1,2
1,1,49506466,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166783,1085495,1,2
1,1,49506467,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166770,1085495,1,2
1,1,49506468,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166771,1085495,1,2
1,1,49506469,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166772,1085495,1,2
1,1,49506470,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166784,1085495,1,2
1,1,49506471,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166785,1085495,1,2
1,1,49506472,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166775,1085495,1,2
1,1,49506473,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166774,1085495,1,2
1,1,49506474,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166786,1085495,1,2
1,1,49506475,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166787,1085495,1,2
1,1,49506476,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166756,1085495,1,2
1,1,49506477,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166757,1085495,1,2
1,1,49506478,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166788,1085495,1,2
1,1,49506479,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166789,1085495,1,2
1,1,49506480,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166760,1085495,1,2
1,1,49506481,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166790,1085495,1,2
1,1,49506482,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166791,1085495,1,2
1,1,49506483,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166762,1085495,1,2
1,1,49506484,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166763,1085495,1,2
1,1,49506485,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166792,1085495,1,2
1,1,49506486,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166793,1085495,1,2
1,1,49506487,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166765,1085495,1,2
1,1,49506488,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166766,1085495,1,2
1,1,49506489,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166755,1085495,1,2
1,1,49506490,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166794,1085495,1,2
1,1,49506491,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166795,1085495,1,2
1,1,49506492,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166796,1085495,1,2
1,1,49506493,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166797,1085495,1,2
1,1,49506494,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166798,1085495,1,2
1,1,49506495,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166799,1085495,1,2
1,1,49506496,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166800,1085495,1,2
1,1,49506497,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166777,1085495,1,2
1,1,49506498,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166778,1085495,1,2
1,1,49506499,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166779,1085495,1,2
1,1,49506500,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166780,1085495,1,2
1,1,49506501,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166776,1085495,1,2
1,1,49506502,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166781,1085495,1,2
1,1,49506503,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166782,1085495,1,2
1,1,49506504,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166768,1085495,1,2
1,1,49506505,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166769,1085495,1,2
1,1,49506506,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166783,1085495,1,2
1,1,49506507,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166770,1085495,1,2
1,1,49506508,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166771,1085495,1,2
1,1,49506509,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166772,1085495,1,2
1,1,49506510,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166784,1085495,1,2
1,1,49506511,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166785,1085495,1,2
1,1,49506512,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166775,1085495,1,2
1,1,49506513,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166774,1085495,1,2
1,1,49506514,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166786,1085495,1,2
1,1,49506515,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166787,1085495,1,2
1,1,49506516,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166756,1085495,1,2
1,1,49506517,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166757,1085495,1,2
1,1,49506518,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166788,1085495,1,2
1,1,49506519,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166789,1085495,1,2
1,1,49506520,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166760,1085495,1,2
1,1,49506521,Line 1 (Yonge-University) towards Vaughan Metropolitan Centre Station,,0,2166790,1085495,1,2
